domain,protein,layer_num,head,status,homo_sister,source
COCH_4apes,COCH,7,14,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer7/COCH_4apes_layer7_head14_tree.nwk
COCH_4apes,COCH,7,15,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer7/COCH_4apes_layer7_head15_tree.nwk
COCH_4apes,COCH,7,16,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer7/COCH_4apes_layer7_head16_tree.nwk
COCH_4apes,COCH,7,17,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer7/COCH_4apes_layer7_head17_tree.nwk
COCH_4apes,COCH,7,18,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer7/COCH_4apes_layer7_head18_tree.nwk
COCH_4apes,COCH,7,19,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer7/COCH_4apes_layer7_head19_tree.nwk
COCH_4apes,COCH,7,2,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer7/COCH_4apes_layer7_head2_tree.nwk
COCH_4apes,COCH,7,20,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer7/COCH_4apes_layer7_head20_tree.nwk
COCH_4apes,COCH,7,3,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer7/COCH_4apes_layer7_head3_tree.nwk
COCH_4apes,COCH,7,4,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer7/COCH_4apes_layer7_head4_tree.nwk
COCH_4apes,COCH,7,5,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer7/COCH_4apes_layer7_head5_tree.nwk
COCH_4apes,COCH,7,6,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer7/COCH_4apes_layer7_head6_tree.nwk
COCH_4apes,COCH,7,7,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer7/COCH_4apes_layer7_head7_tree.nwk
COCH_4apes,COCH,7,8,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer7/COCH_4apes_layer7_head8_tree.nwk
COCH_4apes,COCH,7,9,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer7/COCH_4apes_layer7_head9_tree.nwk
COCH_4apes,COCH,8,1,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head1_tree.nwk
COCH_4apes,COCH,8,10,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head10_tree.nwk
COCH_4apes,COCH,8,11,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head11_tree.nwk
COCH_4apes,COCH,8,12,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head12_tree.nwk
COCH_4apes,COCH,8,13,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head13_tree.nwk
COCH_4apes,COCH,8,14,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head14_tree.nwk
COCH_4apes,COCH,8,15,more_incorrect,Pongo_abelii,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head15_tree.nwk
COCH_4apes,COCH,8,16,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head16_tree.nwk
COCH_4apes,COCH,8,17,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head17_tree.nwk
COCH_4apes,COCH,8,18,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head18_tree.nwk
COCH_4apes,COCH,8,19,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head19_tree.nwk
COCH_4apes,COCH,8,2,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head2_tree.nwk
COCH_4apes,COCH,8,20,less_incorrect,Gorilla_gorilla_gorilla,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/COCH_4apes/COCH_4apes/layer8/COCH_4apes_layer8_head20_tree.nwk
